Accronymes	Signification
BST	Bureau de la sécurité des transports du Canada
CEGRIM	Centre d'expertise en gestion des risques d'incidents maritimes
CNUE	Le Centre national des urgences environnementales
ECCC	Environnement et Changement climatique Canada
GCC	Garde côtière canadienne
MCC	Ministère de la Culture et des Communications
MELCC	Ministère de l’environnement et lutte contre les changements climatiques
MPO	Pêches et Océans Canada
MTQ	Ministère des transports du Québec
SHC	Service hydrographique du Canada
TC	Transport Canada
PSL	Plan Saint-Laurent
UQO	Université du Québec en Outaouais
CV	Composante valorisée
EC	Environnement Canada
OGSL	Observatoire Global du Saint-Laurent
RQM	Réseau Québec Maritime
MFFP	Ministère des Forêts, de la Faune et des Parcs
UQAR	Université du Québec à Rimouski
UQAC	Université du Québec à Chicoutimi
DCE	Direction de la connaissance écologiques (MELCC)
AGHAMM	Association de gestion halieutique autochtone Mi'kmaq et Malécite
MSP	Ministére de la Sécurité Publique
GCNWA	Grand Conseil de la Nation Waban-Aki 
INRS	Institut national de la recherche scientifique
UL	Université Laval
SODIM	Société de développement de l’industrie maricole
ROMM	Réseau d’observation de mammifères marins
GREMM	Groupe de recherche et d’éducation sur les mammifères marins
MICS	Mingan Island Cetacean Study
PC	Parcs Canada
