Composante	Categorie	SousCategorie	Description	Organisation	Contact	Contact2	URL	Communication	Priorite1	Priorite2	Commentaire
Stresseurs	Ancrages	NA	NA	TC	Jeff Campagnola	NA	NA	3	4	1	NA
Stresseurs	Ancrages	NA	NA	SHC	NA	NA	NA	1	4	3	NA
Stresseurs	Ancrages	NA	Voir commentaire	Innovation maritime	NA	NA	NA	2	4	2	Nous pourrions fournir un portrait complet de utilisation des maillages (types de navire, temps de présence, période utilisation, évolution mensuelle/annuelle)
Stresseurs	Déversements accidentels	NA	NA	GCC	Pierre Nellis	NA	NA	1	6	2	NA
Stresseurs	Déversements accidentels	NA	Voir commentaire	CNUE	NA	NA	NA	1	6	1	Olivier Parent: le CNUE posséde de information sur le sujet, mais je ne suis toutefois pas certain sous quel format ça peut étre disponible, si disponible.
Stresseurs	Déversements accidentels	NA	Voir commentaire	Innovation maritime	NA	NA	NA	3	6	1	Information disponible partiellement auprés de la Caisse indemnisation des dommages dus é la pollution par les hydrocarbures causée par les navires.
Stresseurs	Déversements accidentels	NA	NA	BCU	NA	NA	NA	0	6	3	NA
Stresseurs	Déversements accidentels	NA	NA	CEGRIM	Joannie Ferland	NA	NA	2	6	1	NA
Stresseurs	Dragages	Zones de dragage	Volume dragage St-Laurent (fluvial et maritime) 1995 é 2016 (à valider)	ECCC	Simon Blais	NA	NA	3	2	1	NA
Stresseurs	Dragages	Zones de dragage	Volume dragage chenal navigation	GCC	Pierre Dion	NA	NA	1	2	2	NA
Stresseurs	Dragages	Zones de dragage	Bathymétrie	SHC	NA	NA	NA	1	2	3	NA
Stresseurs	Dragages	Zones de dragage	Dragage quai de traversier	MTQ	NA	NA	NA	1	2	2	NA
Stresseurs	Dragages	Zones de dragage	Chantier maritime et marinas	MELCC	NA	NA	NA	1	2	3	NA
Stresseurs	Dragages	Zones de dragage	Registre de dragage	PSL	NA	NA	http://planstlaurent.qc.ca/fr/usages/registre_de_dragage.html	1	2	1	NA
Stresseurs	Naufrages et échouements	NA	Données et statistiques sur les événements de transport maritime	BST	NA	Olivier Parent	https://www.tsb.gc.ca/fra/stats/marine/index.html	1	7	1	Olivier Parent: Le BST recence tous les événements maritime depuis 1995, incluant les échouements. Le tout est accessible en ligne.
Stresseurs	Naufrages et échouements	NA	épaves considérées comme sites archéologiques	MCC	NA	Olivier Parent	NA	1	7	1	Olivier Parent: Le MCC peut étre une bonne source intervention au niveau de emplacement des épaves considérées comme sites archéologiques.
Stresseurs	Navigation	NA	Données AIS: Tracé des déplacements en navire et type de navire	TC	Jeff Campagnola	NA	NA	3	1	1	NA
Stresseurs	Navigation	NA	Systéme de surveillance des navires national (VMS)	MPO	NA	NA	NA	1	1	2	NA
Stresseurs	Navigation	NA	Voir commentaire	Innovation maritime	NA	NA	www.statsmaritimes.com	2	1	2	Nous avons fait plusieurs analyses (par zones) touchant le trafic. Voir www.statsmaritimes.com pour certaines données historiques. Capacité à faire des analyses pointues du trafic à partir des bases de données INNAV et AIS. Diposons des données INNAV depuis 2002 et AIS depuis 2013. Possibilité de faire des analyses sur mesure selon vos besoins (types de navires, dimensions, vitesse, zones de passage, variations mensuelles et annuelles, analyse par points origine et destination)
Stresseurs	Navigation	NA	Voyages entre ports	Desgagnés	NA	NA	NA	1	1	3	NA
Stresseurs	Navigation	NA	NA	UQO	Clément Chion	NA	NA	2	1	2	NA
Stresseurs	Navigation	NA	Observateurs terrestres pour compter plaisanciers dans estuaire été 2020	PC	Samuel Turgeon	NA	NA	3	1	2	NA
Stresseurs	Pêches	NA	Journaux de bord + VMS	MPO	Hugues Benoît	NA	NA	2	3	1	NA
Stresseurs	Pêches	NA	Journaux de bord + VMS	MPO	Julie Aucoin	NA	NA	1	3	2	NA
Stresseurs	Rejets opérationels	NA	NA	BCU	NA	NA	NA	0	5	2	NA
Stresseurs	Rejets opérationels	NA	NA	GCC	NA	NA	NA	1	5	2	NA
Stresseurs	Rejets opérationels	NA	NA	CEGRIM	Joannie Ferland	NA	NA	1	5	1	NA
